"Experiment"	"Retention time"	"Total ion current"	"Reverse"
"III23_18compl_210129"	126.53	2144100	NA
"III23_210129"	84.108	2367900	NA
"HEK_210201"	95.843	4205100	"+"
"III12_210129"	100.09	658280	NA
"III23_210129"	69.434	13576000	NA
"HEK_210203"	47.797	3199300	NA
"III23_18compl_210129"	109.18	499370	NA
"III12_210129"	39.764	6105100	NA
"VIII27_210129"	120.09	2363100	NA
"III23_18compl_210129"	132.15	603940	NA
"III23_210129"	39.892	23952000	NA
"HEK_210201"	144.44	12625	NA
"HEK_201204"	35.834	6070600	"+"
"HEK_210203"	131.97	459650	NA
"VIII27_210129"	131.11	933870	NA
"HEK_210201"	16.998	1183500	NA
"III23_210201"	50.443	11983000	NA
"III23_18compl_210129"	86.494	7952100	NA
"VIII27_210129"	50.776	4209200	NA
"HEK_210203"	119.97	1336400	NA
"III12_210129"	124.82	99404	"+"
"VIII27_210129"	108.62	1271900	"+"
"HEK_210201"	6.6225	24414	NA
"III23_210129"	94.766	724750	NA
"HEK_210203"	140.05	435740	"+"
"HEK_210203"	35.552	5591800	NA
"HEK_201204"	16.598	105180	NA
"III23_18compl_210129"	63.856	3954700	NA
"III23_210129"	94.771	2279500	NA
"HEK_201204"	32.571	7003500	NA
"III23_210201"	97.703	568730	"+"
"HEK_210203"	123.05	1614600	NA
"VIII27_210129"	136.39	182660	NA
"HEK_210201"	45.71	2619400	NA
"HEK_210201"	29.648	1069700	"+"
"III23_210129"	133.56	959240	NA
"VIII27_210129"	55.702	45683000	"+"
"VIII27_210129"	29.865	7069400	NA
"HEK_210203"	36.811	6884400	NA
"III23_18compl_210129"	15.853	40723	NA
"HEK_201204"	65.033	7753500	NA
"HEK_210201"	35.121	10124000	"+"
"HEK_210201"	20.93	148980	"+"
"III23_18compl_210129"	75.842	6790800	NA
"HEK_210203"	128.28	32931	"+"
"III23_18compl_210129"	30.887	11575000	NA
"HEK_210201"	22.588	3276200	"+"
"HEK_210203"	100.58	986770	NA
"HEK_210203"	58.822	10334000	NA
"III23_18compl_210129"	128.66	973440	NA
"VIII27_210129"	24.931	6008300	NA
"III12_210129"	19.202	199450	"+"
"HEK_210201"	70.763	5454400	"+"
"III12_210129"	48.459	749170	NA
"III12_210129"	42.773	2264600	NA
"HEK_210201"	17.841	607780	"+"
"III23_210129"	95.07	3436600	NA
"III23_18compl_210129"	128.96	5047400	"+"
"III23_210129"	22.464	932900	NA
"III23_210201"	34.495	37031000	"+"
"III12_210129"	115.75	167940	"+"
"III23_18compl_210129"	111.55	1592400	NA
"HEK_210201"	90.03	8633500	NA
"VIII27_210129"	26.364	1202200	NA
"III23_210129"	67.001	1453200	"+"
"HEK_210203"	20.513	8446300	NA
"HEK_210203"	39.229	13771000	NA
"III23_210201"	54.7	4664200	NA
"III23_18compl_210129"	92.757	1218900	NA
"III23_210129"	112.49	3354800	NA
"HEK_210203"	77.469	11988000	"+"
"HEK_210203"	40.931	2737500	NA
"III23_210129"	103.65	1821100	NA
"HEK_201204"	99.391	935960	NA
"HEK_201204"	92.952	531070	"+"
"III23_210201"	39.614	6970600	NA
"III12_210129"	80.1	106850	"+"
"III23_18compl_210129"	65.907	4649500	NA
"III12_210129"	65.139	6516400	NA
"III12_210129"	62.864	3416800	"+"
"III23_18compl_210129"	132.46	916790	"+"
"III23_18compl_210129"	131.12	4151000	NA
"HEK_210201"	128.35	1225200	NA
"HEK_201204"	21.674	1000200	"+"
"HEK_201204"	114.45	1505900	NA
"III23_210129"	65.823	586780	NA
"VIII27_210129"	138	139590	NA
"VIII27_210129"	33.09	3270300	NA
"HEK_201204"	85.192	743540	NA
"III23_210129"	73.337	5019200	NA
"HEK_210203"	105.25	710920	NA
"HEK_210203"	28.805	4342000	NA
"HEK_201204"	29.686	18988000	NA
"III23_210201"	122.53	414700	NA
"VIII27_210129"	36.317	10009000	"+"
"HEK_210203"	24.886	400050	"+"
"HEK_210203"	26.876	789250	NA
"HEK_210203"	143.7	12099	"+"
"III23_210201"	60.866	4414900	"+"
"HEK_210201"	42.324	458570	"+"
"III23_210201"	46.614	8078000	"+"
"III23_18compl_210129"	28.076	5155500	NA
"HEK_210201"	64.028	13153000	NA
"VIII27_210129"	13.862	34714	"+"
"III23_18compl_210129"	130.25	233200	"+"
"HEK_201204"	49.587	3920100	NA
"III12_210129"	103.64	1293000	NA
"III12_210129"	63.703	5056000	NA
"III23_210129"	95.208	2512800	"+"
"III12_210129"	118.44	961960	NA
"HEK_210201"	129.66	127920	NA
"III23_210201"	137.5	27463	"+"
"HEK_210203"	129.75	180710	NA
"HEK_210203"	91.479	155510	NA
"III12_210129"	110.74	324590000	NA
"HEK_210201"	43.494	5005400	NA
"HEK_210203"	86.281	810130	NA
"HEK_210201"	135.84	197790	NA
"HEK_210201"	125.24	503380	NA
"III23_210201"	62.285	9002100	NA
"HEK_210203"	39.583	9039500	NA
"III23_210201"	61.644	6552800	NA
"III23_18compl_210129"	20.712	2052400	NA
"III23_210201"	134.77	180390	NA
"HEK_201204"	59.244	3843200	NA
"HEK_210203"	111.91	4534600	"+"
"HEK_210203"	102.49	2668200	NA
"HEK_210203"	128.5	215640	NA
"III23_210201"	28.951	18630000	NA
"HEK_210201"	77.437	1262400	"+"
"III12_210129"	81.386	1553300	NA
"III23_18compl_210129"	128.74	399240	NA
"III23_210129"	105.17	4193200	NA
"VIII27_210129"	108.65	126800	NA
"HEK_210201"	124.62	111110	NA
"VIII27_210129"	91.927	1768100	NA
"HEK_210203"	75.411	780860	NA
"HEK_201204"	120.03	1549000	NA
"VIII27_210129"	17.049	340640	"+"
"VIII27_210129"	133.49	3425200	"+"
"III23_210129"	18.302	2326500	NA
"III12_210129"	25.003	2378600	NA
"III23_210201"	65.359	40472000	NA
"III23_210129"	50.958	5761400	NA
"III12_210129"	48.357	6434800	"+"
"HEK_210203"	64.676	1458900	NA
"HEK_210203"	121.05	252630	"+"
"III12_210129"	104.68	3600600	NA
"HEK_210201"	115.37	1141100	NA
"III23_18compl_210129"	77.751	1722800	NA
"III23_18compl_210129"	126.15	487020	NA
"III23_18compl_210129"	119.95	739660	NA
"III23_18compl_210129"	37.425	7194100	NA
"III12_210129"	85.869	4558400	NA
"III23_18compl_210129"	101.49	22786000	NA
"III12_210129"	27.88	262720	NA
"III23_210201"	37.101	314090	"+"
"HEK_210203"	24.048	608940	NA
"HEK_210203"	42.419	7573400	NA
"III23_18compl_210129"	103.89	1800700	NA
"III23_18compl_210129"	116.85	325610	NA
"HEK_210203"	72.487	13422000	NA
"VIII27_210129"	0.7696	16565	NA
"III23_18compl_210129"	139.04	24983	NA
"III23_210201"	66.566	5344800	NA
"III23_210201"	60.77	1535200	NA
"HEK_210203"	16.946	55285	"+"
"III23_210129"	15.167	46244	"+"
"III23_210129"	76.994	14848000	NA
"III12_210129"	126.66	277920	NA
"VIII27_210129"	25.147	1441300	NA
"III23_210201"	64.501	3829200	"+"
"HEK_210201"	70.225	20767000	"+"
"III23_18compl_210129"	39.829	7208800	NA
"HEK_210201"	82.135	6521300	NA
"HEK_201204"	43.389	5086600	NA
"HEK_210201"	115.65	901100	"+"
"III23_210201"	43.105	4741500	"+"
"HEK_201204"	81.046	10248000	"+"
"III23_210201"	110.96	1077800	NA
"VIII27_210129"	132.37	566190	"+"
"III23_210129"	126.11	87890	NA
"HEK_210201"	74.24	1621800	NA
"HEK_210203"	53.717	4969400	NA
"III12_210129"	56.216	8059800	NA
"HEK_201204"	133.61	1134800	NA
"III12_210129"	59.823	1037400	NA
"III12_210129"	88.268	3858400	NA
"HEK_210203"	56.624	9507700	NA
"VIII27_210129"	18.164	522320	"+"
"III23_18compl_210129"	20.253	497690	"+"
"III12_210129"	93.556	1850100	NA
"III23_18compl_210129"	91.95	38785000	NA
"III23_210201"	29.985	2869700	NA
"VIII27_210129"	69.466	3263600	NA
"VIII27_210129"	66.993	5929300	NA
"III23_18compl_210129"	111.53	1786400	NA
"HEK_201204"	81.812	4851700	NA
"III12_210129"	37.258	6368500	NA
"III23_210129"	28.639	3367200	NA
"HEK_210203"	29.763	5158400	NA
"HEK_201204"	112.3	630210	NA
"HEK_201204"	90.327	19151000	NA
"III23_18compl_210129"	88.644	4842400	NA
"III12_210129"	73.437	46163000	NA
"HEK_210201"	50.064	12218000	NA
"HEK_201204"	93.679	1451600	"+"
"VIII27_210129"	27.583	1445700	NA
"III23_210129"	46.96	10386000	NA
"HEK_201204"	84.524	47062000	NA
"HEK_210203"	15.878	85646	"+"
"HEK_201204"	105.61	5726600	NA
"III23_210129"	68.991	3647700	NA
"HEK_210203"	47.351	2569000	NA
"III23_210129"	99.528	54006	NA
"VIII27_210129"	31.177	9352900	NA
"III23_18compl_210129"	44.828	3850000	NA
"VIII27_210129"	90.354	1483700	NA
"HEK_201204"	20.836	936070	NA
"III12_210129"	124.26	133720	"+"
"HEK_210201"	89.891	7181000	NA
"VIII27_210129"	69.889	2911700	NA
"III12_210129"	44.213	338600	NA
