"Experiment"	"Retention time"	"Cycle time"	"MS/MS count"
"HEK_210201"	142.56	0.37262	1
"III12_210129"	9.2578	0.32696	0
"HEK_201204"	71.754	2.0485	36
"HEK_201204"	111.06	1.978	31
"III23_210129"	59.45	6.1494	108
"III23_18compl_210129"	138.07	0.31952	0
"HEK_210203"	79.885	6.795	116
"HEK_210201"	144.49	0.43121	2
"III12_210129"	148.98	0.42206	2
"HEK_210203"	143.65	0.37079	1
"HEK_210203"	0.47493	0.32483	0
"III23_210201"	146.66	0.32684	0
"HEK_201204"	13.839	0.36312	1
"III12_210129"	111.94	6.7419	106
"III23_18compl_210129"	13.92	0.32043	0
"III12_210129"	15.222	0.41948	2
"III23_210201"	108.04	1.9569	34
"HEK_201204"	112.47	6.5927	102
"VIII27_210129"	13.65	0.32049	0
"HEK_210203"	129.23	6.6861	102
"HEK_210203"	69	6.546	111
"III23_210129"	4.0744	0.36661	1
"III23_210129"	10.086	0.32845	0
"III23_210129"	3.8618	0.32324	0
"VIII27_210129"	89.773	2.0522	36
"HEK_210203"	6.0964	0.3241	0
"III12_210129"	148.63	0.32501	0
"III23_18compl_210129"	141.92	0.42114	2
"III12_210129"	36.681	2.1325	40
"III23_18compl_210129"	107.77	6.5227	103
"HEK_210201"	0.48261	0.36059	1
"HEK_210201"	142.24	0.32776	0
"III23_210129"	92.67	6.6394	109
"III23_210129"	42.392	2.162	38
"VIII27_210129"	7.1284	0.32381	0
"III12_210129"	7.1715	0.48371	3
"III23_18compl_210129"	105.17	2.1185	38
"HEK_210203"	149.72	0.32501	0
"III12_210129"	144.75	0.42847	2
"VIII27_210129"	142.65	0.33142	0
"VIII27_210129"	147.84	0.32501	0
"HEK_210201"	114.81	6.7072	106
"III12_210129"	15.995	0.85905	9
"VIII27_210129"	0.26528	0.36052	1
"VIII27_210129"	138.96	0.32135	0
"III23_18compl_210129"	149.98	0.40649	2
"III23_210201"	1.9966	0.32325	0
"III23_210129"	9.7874	0.32759	0
"HEK_210201"	50.69	2.0279	36
"HEK_210203"	142.7	0.33051	0
"HEK_210203"	146.53	0.32593	0
"HEK_201204"	108.7	7.0377	115
"III23_18compl_210129"	53.938	6.0686	105
"HEK_210203"	137.2	0.35797	1
"III23_210129"	140.64	0.32043	0
"HEK_201204"	20.311	4.2593	71
"HEK_201204"	139.63	0.36438	1
"III12_210129"	5.5657	0.3665	1
"HEK_210201"	11.278	0.32146	0
"III23_18compl_210129"	137.01	0.47791	3
"III23_210129"	0.83136	0.36135	1
